Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
Wing	2.793051	2.722772	0.033127	0.033123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Twin_Booms	0.289177	0.271031	0.002810	0.002701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.341000	0.002513	41.381894
Twin_Booms	0.289177	0.271031	0.002810	0.002701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.341000	0.002513	41.381894
Body	0.972872	0.943883	0.053022	0.052764	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.400000	0.090485	4.124637
A_Tail	0.532503	0.522265	0.003565	0.003565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
A_Tail	0.532503	0.522265	0.003565	0.003565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
